frame	start	end	duration	title_hi	title_en	source
1	0.000	9.856	9.856	द लॉन्ग रोड	The Long Road	61
2	9.856	19.713	9.856	संस्कृत नाद	Sanskrit Blast	32
3	19.713	47.310	27.598	वैचारिक प्रहार	Aggressive Delivery	51
4	47.310	55.852	8.542	धरातल का बदलाव	Structural Shift	36
5	55.852	72.936	17.084	पदचाप की धमक	Unyielding Stance	37
6	72.936	82.136	9.199	वज्र प्रहार	Dust Fracture	43
7	82.136	90.678	8.542	पख्तून रक्षक	Pakhtoon Warrior	62
8	90.678	99.220	8.542	रूहानी नमी	The Shared Tear	91
9	99.220	107.762	8.542	शापित ग्रंथ का रक्त	Shapit Granth	77
10	107.762	116.961	9.199	गंगा और तुलसी	The Anchor	composite_89_90
11	116.961	142.587	25.626	अटूट जुड़ाव	One-ness	112
12	142.587	151.787	9.199	ब्रह्म की मुस्कान	The Brahman Smirk	132
13	151.787	160.329	8.542	महाविस्फोट / महाशून्य	The Empty Space	106
14	160.329	169.528	9.199	स्पंदन की गूंज	Vibration Echo	117
15	169.528	193.840	24.312	तर्पण और विसर्जन	Sanskrit Chant	118
16	193.840	201.840	8.000	पूर्ण विराम / मोक्ष	Final Beat / Silence	131
