frame	start	end	duration	source	title_hi	title_en	image_path	rubab_overlay	effects	note
1	0.0	8.0	8.0	1	आओ करें घात की बात	Varg Ka Khel: Let's Talk About Exponents	media/varg_ka_khel/frames/frame_0001.jpg	no		Intro: Upbeat acoustic guitar intro, claps, tabla synth beat
2	8.0	14.5	6.5	2	आओ करें घात की बात	Let's Talk About Exponents	media/varg_ka_khel/frames/frame_0002.jpg	no		Chorus: आओ करें घात की बात
3	14.5	21.0	6.5	3	सात का वर्ग मतलब सात गुना सात	Seven Squared Means Seven Times Seven	media/varg_ka_khel/frames/frame_0003.jpg	no		Chorus: आओ करें घात की बात
4	21.0	27.5	6.5	4	त्रिभुज के जो हैं तीन हाथ	Triangle's Three Hands	media/varg_ka_khel/frames/frame_0004.jpg	no		Chorus: आओ करें घात की बात
5	27.5	34.0	6.5	5	कमाल खेल है वर्ग के साथ	Squares Are a Wonderful Game	media/varg_ka_khel/frames/frame_0005.jpg	no		Chorus: आओ करें घात की बात
6	34.0	41.0	7.0	6	पाइथागोरस के नाम पर बस्ता जो खुलवाया	Bag Opened in Pythagoras' Name	media/varg_ka_khel/frames/frame_0006.jpg	no	grain,vignette	Confusion / Satire: Pythagoras bag, rote learning pressure
7	41.0	48.0	7.0	7	बेचारे कुचली-कुचली को कुछ समझ ना आया	Kutchli-Kutchli Couldn't Understand	media/varg_ka_khel/frames/frame_0007.jpg	no	grain,vignette	Confusion / Satire: Pythagoras bag, rote learning pressure
8	48.0	55.0	7.0	8	रट-रट कर फॉर्मूला उसकी बुद्धि चकराई	Rote Formula Confused Her Mind	media/varg_ka_khel/frames/frame_0008.jpg	no	grain,vignette	Confusion / Satire: Pythagoras bag, rote learning pressure
9	55.0	62.0	7.0	9	ब्लैकबोर्ड की काली छाया सपने में भी आई	Blackboard Shadow in Her Dreams	media/varg_ka_khel/frames/frame_0009.jpg	no	grain,vignette	Confusion / Satire: Pythagoras bag, rote learning pressure
10	62.0	65.25	3.25	10	रटने का बोझ	Weight of Rote Learning	media/varg_ka_khel/frames/frame_0010.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
11	65.25	68.5	3.25	11	कुचली-कुचली - बोझ बढ़ रहा है	The Pressure Grows	media/varg_ka_khel/frames/frame_0011.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
12	68.5	71.75	3.25	12	सबसे काला श्यामपट	The Darkest Blackboard	media/varg_ka_khel/frames/frame_0012.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
13	71.75	75.0	3.25	13	भ्रम ना की गूंज	Echo of Confusion	media/varg_ka_khel/frames/frame_0013.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
14	75.0	78.25	3.25	14	भ्रम की गूंज	Confusion Echo	media/varg_ka_khel/frames/frame_0014.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
15	78.25	81.5	3.25	15	चरम बिंदु	Peak Pressure	media/varg_ka_khel/frames/frame_0015.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
16	81.5	84.75	3.25	16	गहरी गुफा	Deep Cave	media/varg_ka_khel/frames/frame_0016.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
17	84.75	88.0	3.25	17	रट-रट कर बुद्धि चकराई	Rote Learning Spins the Mind	media/varg_ka_khel/frames/frame_0017.jpg	no	grain,vignette	Dark Confusion: Blackboard shadow and formula overload
18	88.0	95.5	7.5	18	खेल का समय	Time to Play	media/varg_ka_khel/frames/frame_0018.jpg	no	dust	Playful Turn: रटना छोड़ो, अब देखो ये खेल
19	95.5	103.0	7.5	19	अंकों का नाच - बोझ अब नहीं	Numbers Dance, No More Burden	media/varg_ka_khel/frames/frame_0019.jpg	no	dust	Playful Turn: रटना छोड़ो, अब देखो ये खेल
20	103.0	110.5	7.5	20	नया ब्लैकबोर्ड, साफ मन	New Blackboard, Clear Mind	media/varg_ka_khel/frames/frame_0020.jpg	no	dust	Playful Turn: रटना छोड़ो, अब देखो ये खेल
21	110.5	118.0	7.5	21	साथी हाथ बढ़ाना, मिलकर सीखना	Learn Together	media/varg_ka_khel/frames/frame_0021.jpg	no	dust	Playful Turn: रटना छोड़ो, अब देखो ये खेल
22	118.0	125.0	7.0	22	जंगल का रास्ता, अब साफ है	The Path is Clear	media/varg_ka_khel/frames/frame_0022.jpg	no	dust	Simple Math: 3-4-5, squares and clear arithmetic
23	125.0	132.0	7.0	23	मस्तिष्क का द्वार, प्रकाश का खेल	Mind Door Opens	media/varg_ka_khel/frames/frame_0023.jpg	no	dust	Simple Math: 3-4-5, squares and clear arithmetic
24	132.0	139.0	7.0	24	सीखने का सफर, हर कदम नया	Learning Journey	media/varg_ka_khel/frames/frame_0024.jpg	no	dust	Simple Math: 3-4-5, squares and clear arithmetic
25	139.0	146.0	7.0	25	रचनात्मक मज़ा, गणित है खेल	Creative Math Play	media/varg_ka_khel/frames/frame_0025.jpg	no	dust	Simple Math: 3-4-5, squares and clear arithmetic
26	146.0	152.0	6.0	26	कोड की भाषा	Code Language	media/varg_ka_khel/frames/frame_0026.jpg	no	grain,sonic	Area Visual Magic: Base square plus height square
27	152.0	158.0	6.0	27	घात का जादू - नए कोड की खोज	Exponent Magic	media/varg_ka_khel/frames/frame_0027.jpg	no	grain,sonic	Area Visual Magic: Base square plus height square
28	158.0	164.0	6.0	28	रस्सी तिरछी मुस्काई, मज़ा आया	The Slanted Rope Smiles	media/varg_ka_khel/frames/frame_0028.jpg	no	grain,sonic	Area Visual Magic: Base square plus height square
29	164.0	170.0	6.0	29	गुप्त ट्रिक - ५, १२ और १३ का खेल	Secret 5-12-13 Trick	media/varg_ka_khel/frames/frame_0029.jpg	no	grain,sonic	Area Visual Magic: Base square plus height square
