index	id	title	category	sourceId	x	y	width	height	relativePath
1	mahavisphot-ref-001-source-monitor	Source Monitor	editor	view-modules-gallery	40	95	380	415	frames/frame_001_source-monitor.png
2	mahavisphot-ref-002-program-monitor	Program Monitor	editor	view-modules-gallery	435	100	395	410	frames/frame_002_program-monitor.png
3	mahavisphot-ref-003-scene-list	Scene List	editor	view-modules-gallery	840	115	150	390	frames/frame_003_scene-list.png
4	mahavisphot-ref-004-advanced-timeline	Advanced Timeline	editor	view-modules-gallery	1000	120	415	390	frames/frame_004_advanced-timeline.png
5	mahavisphot-ref-005-hierarchy-scene-graph	Hierarchy Scene Graph	3d	view-modules-gallery	1458	110	222	400	frames/frame_005_hierarchy-scene-graph.png
6	mahavisphot-ref-006-3d-transform-inspector	3D Transform Inspector	3d	view-modules-gallery	1685	105	240	405	frames/frame_006_3d-transform-inspector.png
7	mahavisphot-ref-007-threejs-shader-editor	Three.js Shader Editor	3d	view-modules-gallery	1930	105	225	405	frames/frame_007_threejs-shader-editor.png
8	mahavisphot-ref-008-uv-texture-editor	UV Texture Editor	3d	view-modules-gallery	2160	105	285	405	frames/frame_008_uv-texture-editor.png
9	mahavisphot-ref-009-neural-motion-tracker	Neural Motion Tracker	ai-tracking	view-modules-gallery	40	625	230	305	frames/frame_009_neural-motion-tracker.png
10	mahavisphot-ref-010-topology-map	Topology Map	ai-tracking	view-modules-gallery	285	625	220	305	frames/frame_010_topology-map.png
11	mahavisphot-ref-011-anisotropic-depth-map-viewer	Anisotropic Depth Map Viewer	ai-tracking	view-modules-gallery	520	620	360	310	frames/frame_011_anisotropic-depth-map-viewer.png
12	mahavisphot-ref-012-particles-gallery	Particles Gallery	particles	view-modules-gallery	1640	640	285	290	frames/frame_012_particles-gallery.png
13	mahavisphot-ref-013-particle-node-graph	Particle Node Graph	particles	view-modules-gallery	1940	640	250	290	frames/frame_013_particle-node-graph.png
14	mahavisphot-ref-014-parametric-fields	Parametric Fields	particles	view-modules-gallery	2210	630	240	300	frames/frame_014_parametric-fields.png
15	mahavisphot-ref-015-node-graph-composer	Node Graph Composer	vfx	view-modules-gallery	40	1025	390	295	frames/frame_015_node-graph-composer.png
16	mahavisphot-ref-016-grade-gallery	Grade Gallery	vfx	view-modules-gallery	450	1030	380	290	frames/frame_016_grade-gallery.png
17	mahavisphot-ref-017-particle-graph-processor	Particle Graph Processor	vfx	view-modules-gallery	860	1030	370	290	frames/frame_017_particle-graph-processor.png
18	mahavisphot-ref-018-color-wheel-curves-view	Color Wheel Curves View	color	view-modules-gallery	1245	1025	370	295	frames/frame_018_color-wheel-curves-view.png
19	mahavisphot-ref-019-master-mixer	Master Mixer	audio	view-modules-gallery	1640	1030	248	290	frames/frame_019_master-mixer.png
20	mahavisphot-ref-020-audio-track-mixer	Audio Track Mixer	audio	view-modules-gallery	1905	1030	260	290	frames/frame_020_audio-track-mixer.png
21	mahavisphot-ref-021-spectrogram-analyzer	Spectrogram Analyzer	audio	view-modules-gallery	2185	1025	265	295	frames/frame_021_spectrogram-analyzer.png
22	mahavisphot-ref-022-master-mixer-expanded	Master Mixer Expanded	audio	view-modules-gallery	40	1350	325	290	frames/frame_022_master-mixer-expanded.png
